Date,Strategy,DailyReturn,Equity,Turnover,Cost,IsBenchmark
2018-01-03,MinVol,0.0023944320993458668,1.0023944320993459,0.0,0.0,False
2018-01-04,MinVol,0.0011791679853585535,1.0035764235223792,0.0,0.0,False
2018-01-05,MinVol,0.006942298577117256,1.010543550699427,0.01198043242038464,1.198043242038464e-05,False
2018-01-08,MinVol,0.0014440312697143742,1.0120028071860452,0.0,0.0,False
2018-01-09,MinVol,0.0015852082112526311,1.0136070423458072,0.0,0.0,False
2018-01-10,MinVol,-0.008116421450497624,1.0053801804049363,0.0,0.0,False
2018-01-11,MinVol,-0.0040563585243751366,1.001301997939913,0.0,0.0,False
2018-01-12,MinVol,0.0025555211162087144,1.0038608463393504,0.014180420696471656,1.4180420696471655e-05,False
2018-01-15,MinVol,-0.0005663696363733539,1.0032922900368397,0.0,0.0,False
2018-01-16,MinVol,-0.00654928994306514,0.9967214379317466,0.0,0.0,False
2018-01-17,MinVol,-0.005694332227030863,0.9910457749263594,0.0,0.0,False
2018-01-18,MinVol,0.0034076140037242464,0.9944228763873302,0.0,0.0,False
2018-01-19,MinVol,-0.0007475833426410228,0.9936794624094019,0.017401208346210374,1.7401208346210376e-05,False
2018-01-22,MinVol,0.0004256652022314178,0.9941024371787216,0.0,0.0,False
2018-01-23,MinVol,0.011814232362581834,1.00584699436376,0.0,0.0,False
2018-01-24,MinVol,0.004785636117090375,1.010660612068254,0.0,0.0,False
2018-01-25,MinVol,-0.0009830625216549205,1.009667069498417,0.020395706900883267,2.039570690088327e-05,False
2018-01-29,MinVol,0.0038578864194294127,1.0135622503739798,0.0,0.0,False
2018-01-30,MinVol,-0.011105500487519793,1.00230613430832,0.0,0.0,False
2018-01-31,MinVol,0.004222331079427599,1.006538202650311,0.0,0.0,False
2018-02-01,MinVol,0.0047948823807655305,1.0113644349437663,0.0,0.0,False
2018-02-02,MinVol,0.004898110422995039,1.0163182096240109,0.0148848965943838,1.4884896594383801e-05,False
2018-02-05,MinVol,-0.01615244466301846,0.999902185983041,0.0,0.0,False
2018-02-06,MinVol,-0.029960795449419764,0.9699443211193755,0.0,0.0,False
2018-02-07,MinVol,0.008114103575311171,0.9778145498032229,0.0,0.0,False
2018-02-08,MinVol,0.003488618854254444,0.9812257720776307,0.0,0.0,False
2018-02-09,MinVol,-0.010473677845195373,0.9709487294474866,0.013798129306111722,1.3798129306111722e-05,False
2018-02-12,MinVol,-0.00352809007228827,0.967523134874422,0.0,0.0,False
