Date,AFT.AX,ANZ.AX,BHP.AX,CBA.AX,CSL.AX,FMG.AX,GMG.AX,MQG.AX,NAB.AX,NEM.AX,NST.AX,RIO.AX,RMD.AX,TCL.AX,TLS.AX,WBC.AX,WDS.AX,WES.AX,WOW.AX,XYZ.AX
2018-01-02,0.0010000000474974513,18.340486526489258,14.694151878356934,57.26275634765625,126.91971588134766,2.088714838027954,7.467175483703613,73.51345825195312,19.579483032226562,57.45795822143555,5.226426124572754,43.52144241333008,10.374408721923828,9.07419490814209,2.500234365463257,20.617839813232422,20.045656204223633,21.748064041137695,17.793542861938477,134.30999755859375
2018-01-03,0.0010000000474974513,18.346904754638672,14.941693305969238,57.20564651489258,125.89927673339844,2.152266263961792,7.458328723907471,73.35017395019531,19.5198917388916,57.45795822143555,5.2600908279418945,44.482906341552734,10.441461563110352,9.103422164916992,2.500234365463257,20.604646682739258,20.269119262695312,21.728500366210938,17.682781219482422,134.30999755859375
2018-01-04,0.0010000000474974513,18.301982879638672,15.015957832336426,57.08430480957031,127.82269287109375,2.190397024154663,7.493717670440674,74.0700912475586,19.612590789794922,57.45795822143555,5.1506805419921875,44.28947830200195,10.546833992004395,8.935379028320312,2.51389741897583,20.518875122070312,20.81269073486328,21.64536476135254,17.643692016601562,134.30999755859375
2018-01-05,0.0010000000474974513,18.4495792388916,15.139730453491211,57.93374252319336,128.8611602783203,2.2666587829589844,7.422939300537109,75.21305847167969,19.764881134033203,57.45795822143555,5.091768264770508,44.51704025268555,10.527677536010742,9.030360221862793,2.5480527877807617,20.762990951538086,20.879127502441406,21.79207992553711,17.76096534729004,134.30999755859375
2018-01-08,0.0010000000474974513,18.500919342041016,15.124876022338867,58.26210403442383,129.40301513671875,2.215817451477051,7.422939300537109,75.68806457519531,19.745014190673828,57.45795822143555,5.175929069519043,44.39756393432617,10.680947303771973,8.986522674560547,2.561715602874756,20.795978546142578,20.764375686645508,21.79207992553711,17.7283878326416,134.30999755859375
2018-01-09,0.0010000000474974513,18.57150650024414,15.377373695373535,58.66896438598633,128.13873291015625,2.249711275100708,7.449479579925537,75.71773529052734,19.612590789794922,57.45795822143555,5.066519737243652,45.43867111206055,10.680947303771973,8.986522674560547,2.561715602874756,20.815773010253906,20.92745018005371,21.743175506591797,17.767478942871094,134.30999755859375
2018-01-10,0.0010000000474974513,18.481666564941406,15.327864646911621,58.25495529174805,128.2290802001953,2.2327640056610107,7.245992183685303,75.65095520019531,19.533132553100586,57.45795822143555,4.915029048919678,45.09163284301758,10.671364784240723,8.745420455932617,2.534390687942505,20.8487606048584,20.8187313079834,21.689376831054688,17.77400016784668,134.30999755859375
2018-01-11,0.0010000000474974513,18.43674659729004,15.268455505371094,58.03368377685547,127.10029602050781,2.2242910861968994,7.19290828704834,75.06462860107422,19.552993774414062,57.45795822143555,4.906611919403076,45.08595275878906,10.518096923828125,8.6942777633667,2.534390687942505,20.73659896850586,20.655658721923828,21.591569900512695,17.852184295654297,134.30999755859375
2018-01-12,0.0010000000474974513,18.301982879638672,15.610062599182129,57.73386764526367,128.07554626464844,2.2581846714019775,7.19290828704834,75.30953216552734,19.552993774414062,57.45795822143555,5.016021728515625,45.8653564453125,10.537253379821777,8.635828971862793,2.554884433746338,20.650827407836914,20.824771881103516,21.386171340942383,17.75444984436035,134.30999755859375
2018-01-15,0.0010000000474974513,18.385408401489258,15.793242454528809,57.94087219238281,129.13206481933594,2.249711275100708,7.1398234367370605,74.95330810546875,19.513267517089844,57.45795822143555,5.243258476257324,46.536659240722656,10.479780197143555,8.548155784606934,2.534390687942505,20.505680084228516,20.830810546875,21.44485092163086,17.75444984436035,134.30999755859375
2018-01-16,0.0020000000949949026,18.257062911987305,15.674423217773438,57.51972961425781,128.37355041503906,2.249711275100708,7.1398234367370605,74.93103790283203,19.433813095092773,57.45795822143555,5.201178073883057,46.229454040527344,10.546833992004395,8.548155784606934,2.493403434753418,20.33414077758789,20.426158905029297,21.36171531677246,17.604597091674805,134.30999755859375
2018-01-17,0.0020000000949949026,18.199308395385742,15.21894359588623,57.184226989746094,128.24713134765625,2.1819238662719727,7.122128963470459,75.70289611816406,19.321247100830078,57.45795822143555,5.1590962409973145,44.630821228027344,10.57557487487793,8.60660457611084,2.459246873855591,20.20878028869629,20.32952117919922,21.307920455932617,17.591564178466797,134.30999755859375
2018-01-18,0.0010000000474974513,18.308401107788086,15.238746643066406,57.03432846069336,128.57217407226562,2.177687168121338,7.184060096740723,75.81423950195312,19.354354858398438,57.45795822143555,5.091768264770508,44.84700012207031,10.556415557861328,8.738114356994629,2.472909688949585,20.419912338256836,20.1724853515625,21.288358688354492,17.558988571166992,134.30999755859375
2018-01-19,0.001500000013038516,18.32765007019043,15.194192886352539,56.984352111816406,129.97186279296875,2.169213056564331,7.157517910003662,75.73258972167969,19.308006286621094,57.45795822143555,5.016021728515625,44.380496978759766,10.633050918579102,8.76003360748291,2.438753128051758,20.406715393066406,20.142288208007812,21.38127899169922,17.630659103393555,134.30999755859375
2018-01-22,0.0010000000474974513,18.160804748535156,15.238746643066406,56.2848014831543,131.29933166503906,2.1607401371002197,7.077892303466797,75.41344451904297,19.20206642150879,57.45795822143555,5.074935436248779,44.460147857666016,10.57557487487793,8.796565055847168,2.438753128051758,20.16919708251953,19.985258102416992,21.405731201171875,17.826120376586914,134.30999755859375
