Strategy,IsBenchmark,CAGR,AnnReturn,Vol,Sharpe,MaxDrawdown
MaxSharpe,False,0.188337503850996,0.1829210884500111,0.1431490039090873,0.9984078446035086,-0.34388709912163273
EqualWeight,False,0.15412953660906092,0.15333426265467026,0.1405272693845772,0.8064930255245436,-0.36651555365627664
MinVol,False,0.13988777229165317,0.1394406478065695,0.12976127243970909,0.7663353320827873,-0.3369519262405123
TargetReturn_12.30%,False,0.12542934798879624,0.12808446562581272,0.14010455453446213,0.6287052260256549,-0.3722684578774257
Benchmark,True,0.04705477477441411,0.05808171871793925,0.1549872629831912,0.11666583672685579,-0.3653054101221642
