Ticker,MinVol_Weight,MaxSharpe_Weight,TargetReturn_12.30%_Weight,EqualWeight_Weight
EZL.AX,0.013098321560618104,0.01737127159964674,0.021870328331052756,0.010526315789473684
MCP.AX,0.009941500853987015,0.0018771010828095827,0.015442363681208679,0.010526315789473684
IRI.AX,0.0015741197984944113,0.0017941206240068652,0.018342153581787042,0.010526315789473684
MEZ.AX,0.01967854275097971,0.0020092404071748306,0.020298006479079773,0.010526315789473684
KSL.AX,0.008801984214546107,0.022486820075624653,0.004841504283090919,0.010526315789473684
AXE.AX,0.004893075942367122,0.02093570890981576,0.003397977330541121,0.010526315789473684
PAC.AX,0.016818784991583235,0.0029700085533279205,0.0006387744294519005,0.010526315789473684
SVR.AX,0.007001050567995005,0.009879810832908936,0.010440385405105179,0.010526315789473684
LYL.AX,0.008971612682695236,0.019666799586857672,0.01449645963792968,0.010526315789473684
OBL.AX,0.018427319120754782,0.005266543381120401,0.019738629775100727,0.010526315789473684
SRV.AX,0.01926043726809383,0.009846814474812697,0.0029761759119360342,0.010526315789473684
FWD.AX,0.013741653520966087,0.016934528545971113,0.011985113588539592,0.010526315789473684
AQZ.AX,0.0008490066706324662,0.012425011906342934,0.003189526517440175,0.010526315789473684
MFF.AX,0.009867576755359434,0.015007478711260803,0.0091930580181316,0.010526315789473684
COF.AX,0.019723770346239705,0.01649124343938399,0.021512428661096716,0.010526315789473684
EQT.AX,0.012679563156884958,0.005704393300075941,0.005919176752569401,0.010526315789473684
MVF.AX,0.01987170445728102,0.014277206485749741,0.018040294134125296,0.010526315789473684
CWP.AX,0.019372031907559237,0.0017313316139549206,0.016657978080768736,0.010526315789473684
SPK.AX,0.014421727958745441,0.011186749072868995,0.007551319939083221,0.010526315789473684
MAQ.AX,0.017276204013564198,0.020474871583004445,0.002389313000277824,0.010526315789473684
MMS.AX,0.010361555512841038,0.002671034652989417,0.006888322896216843,0.010526315789473684
CCP.AX,0.014022266882446297,0.004747975861670787,0.01146924175964926,0.010526315789473684
AFI.AX,0.006218129281655996,0.0017084892414347586,0.00445760490805539,0.010526315789473684
IFT.AX,0.000592126245234958,0.0165185656896694,0.009637287662480681,0.010526315789473684
SMR.AX,0.010868794781308897,0.015200436801758954,0.0010629793801532068,0.010526315789473684
WBT.AX,0.0013231827204776858,0.02077261095834032,2.362631119654524e-05,0.010526315789473684
DDR.AX,0.011442581380092902,0.009907366059751873,0.007703131995418319,0.010526315789473684
ING.AX,0.0028713695613128724,0.006689010338511655,0.02197477022476848,0.010526315789473684
IPH.AX,0.01657362204177661,0.005243517267120678,0.011243462053636353,0.010526315789473684
LLC.AX,0.006666271237002187,0.0020608736630344823,0.013671573698210865,0.010526315789473684
NEU.AX,0.006925108985866748,0.005857754420398356,2.150105920347161e-05,0.010526315789473684
ARB.AX,0.003023312718303078,0.02192239174978167,0.019582053562434677,0.010526315789473684
NWS.AX,0.0032566497730511066,0.005311835543213757,0.0038196005504953514,0.010526315789473684
TPG.AX,0.016115784513259578,0.00040604384921162043,0.01289802114472348,0.010526315789473684
ALX.AX,0.002909642066567964,0.005752966610198327,0.017296262085252093,0.010526315789473684
BPT.AX,0.011805460136514265,0.004139635336913555,0.015581281272799048,0.010526315789473684
ANN.AX,0.0031204276497329856,0.008623264818603324,0.020477454364672486,0.010526315789473684
A2M.AX,0.0077670724996509,0.0013682660288322028,0.009763632649750971,0.010526315789473684
BRG.AX,0.008755089859980076,0.010510838976330228,0.011939851634743377,0.010526315789473684
MTS.AX,0.015474660888787845,0.010550514534876506,0.0037660327233945967,0.010526315789473684
CDA.AX,3.167576626069149e-05,0.005234231639941648,0.018333094098001924,0.010526315789473684
YAL.AX,0.019935061722707124,0.011285044543085583,0.0022116959245436765,0.010526315789473684
AUB.AX,0.011747500806091734,0.019167152559576822,0.012610987389887886,0.010526315789473684
FPH.AX,0.015831795849049864,0.01478000196292011,0.006016166282808581,0.010526315789473684
AGL.AX,0.018256190563132803,0.0030197659762510845,0.008992822239471149,0.010526315789473684
SOL.AX,0.010162853897153669,0.010094553496106218,9.390602981138592e-06,0.010526315789473684
TLX.AX,0.004340587434711691,0.019737719226186036,0.0016939388431068349,0.010526315789473684
IGO.AX,0.01270233034551451,0.005120647416425461,0.0018221109842050118,0.010526315789473684
MPL.AX,0.016948584373308966,0.01666367823161105,0.019904021932766948,0.010526315789473684
APA.AX,0.017314548051373772,0.007330914594592427,0.014219428081614235,0.010526315789473684
WHC.AX,0.004702211851896214,0.004983326001802525,0.012288699205115541,0.010526315789473684
ASX.AX,0.0012139720134144245,0.018482428987533956,0.020856080262705582,0.010526315789473684
COH.AX,0.0028891284891161494,0.0025525236416668482,0.0007048408368349027,0.010526315789473684
ORG.AX,0.008444427486901778,0.0130381899798022,0.006394265466588367,0.010526315789473684
SGP.AX,0.006622609915621259,0.009847384737578135,0.022105950164536165,0.010526315789473684
SHL.AX,0.019728031627644985,2.426573421156271e-05,0.0012774129904579584,0.010526315789473684
SCG.AX,4.5458044676032626e-05,0.0031973129161329953,0.012555023854409037,0.010526315789473684
TWE.AX,0.0053633030593497185,0.0009333911034052333,0.008647962317971563,0.010526315789473684
IAG.AX,0.017927038511595838,0.010626534292780715,0.019483406934885452,0.010526315789473684
AMC.AX,0.019899832542526967,0.00489004417684731,0.014526393900802795,0.010526315789473684
JBH.AX,0.010844335375208262,0.0073618335514748145,0.0010934082637639635,0.010526315789473684
CPU.AX,0.011287801617887842,0.002459069039710302,0.00167329705764129,0.010526315789473684
