Strategy,IsBenchmark,CAGR,AnnReturn,Vol,Sharpe,MaxDrawdown
MaxSharpe,False,0.1952613055100283,0.18890980098996477,0.14440941630862478,1.0311640666957753,-0.33326428738251346
EqualWeight,False,0.15810316879206066,0.15657949487458186,0.139185564619465,0.8375832306555037,-0.35504043589895495
MinVol,False,0.139328603684995,0.13886385220983757,0.12915525157456453,0.7654652134122554,-0.32513087049907197
TargetReturn_12.30%,False,0.12454625280937104,0.12674128927618697,0.1361193815918134,0.6372442209317518,-0.35801400924013826
Benchmark,True,0.04705477477441411,0.05808171871793925,0.1549872629831912,0.11666583672685579,-0.3653054101221642
