Strategy,ExpectedReturn,Volatility,Sharpe
SciPy_MaxSharpe,0.32240636272377465,0.15605279698220242,1.8096847232797928
MaxSharpe,0.19156590447207886,0.1414992843854909,1.071142551217172
SciPy_TargetReturn_12.23%,0.12232000000012604,0.08865970231452473,0.9284939814944531
MinVol,0.15445090872725661,0.12863321422205096,0.8897461625244598
SciPy_MinVol,0.1176887527363214,0.08861475654239404,0.8767022081604935
EqualWeight,0.16079895168345465,0.1410772855836584,0.8562608160746135
TargetReturn_12.23%,0.1260919731819352,0.1392960588192422,0.6180503160800308
