Ticker,MinVol_Weight,MaxSharpe_Weight,TargetReturn_12.23%_Weight,SciPy_MaxSharpe_Weight,SciPy_MinVol_Weight,SciPy_TargetReturn_12.23%_Weight,EqualWeight_Weight
EZL.AX,0.018685878115849344,0.01737127159964674,0.004574891813230788,6.052852984201124e-16,0.03365176846168731,0.033558597289622384,0.010526315789473684
MCP.AX,0.003243133516519347,0.0018771010828095827,0.015034840451578529,1.1024492744891845e-15,0.003839392803086102,0.0025729807949210603,0.010526315789473684
IRI.AX,0.00578092516038439,0.0017941206240068652,0.018104821373721606,1.9119467027520285e-15,0.0,0.0,0.010526315789473684
MEZ.AX,0.009049205829697742,0.0020092404071748306,0.0008783041044900585,0.033155033272138215,0.017337028314927595,0.018005005629453577,0.010526315789473684
KSL.AX,0.0215686452673738,0.022486820075624653,0.00855955063972067,0.04174783005359804,0.006289758234373732,0.008549452569431825,0.010526315789473684
AXE.AX,0.0002564134686740202,0.02093570890981576,0.007302076386717465,0.01707751164259078,0.0,0.0,0.010526315789473684
PAC.AX,0.016709469881155,0.0029700085533279205,0.015061639745019312,0.02922625667130734,0.029041142164227422,0.029230455576011585,0.010526315789473684
SVR.AX,0.0033332821937589775,0.009879810832908936,0.018373808884593903,1.2466592346725946e-16,0.0,0.0,0.010526315789473684
LYL.AX,0.022247316136757168,0.019666799586857672,0.004512544084353295,0.08423569284788679,0.03834590477571393,0.04049201270920356,0.010526315789473684
OBL.AX,0.010197793162569352,0.005266543381120401,0.008143126800092715,6.108077331142784e-16,0.001676041383426834,0.00046423917679677646,0.010526315789473684
SRV.AX,0.02014427932829894,0.009846814474812697,0.007462704384716559,0.001634935164481857,0.02539465917327413,0.025793245525455987,0.010526315789473684
FWD.AX,0.006750057744356599,0.016934528545971113,0.016480749248178262,5.321438104156096e-16,0.019944244534456063,0.019585587315751257,0.010526315789473684
AQZ.AX,0.00542433636487633,0.012425011906342934,0.01049668033966666,5.655306719014338e-16,9.397171288831752e-18,0.0,0.010526315789473684
MFF.AX,0.005775452276448724,0.015007478711260803,0.018651623927082642,4.734760365820402e-16,0.01869129934635171,0.019767466857779005,0.010526315789473684
COF.AX,0.0016160669644265425,0.01649124343938399,0.017287696767040964,5.274457398219612e-16,0.009429271006914122,0.0058307367008462955,0.010526315789473684
EQT.AX,0.0017981313101647662,0.005704393300075941,0.011921110774908343,3.495241533560509e-16,0.01889816443525188,0.01780308983482859,0.010526315789473684
MVF.AX,0.012154884557166722,0.014277206485749741,0.016345018365285686,2.779515956907807e-16,0.0,0.0,0.010526315789473684
CWP.AX,0.0027108441623836443,0.0017313316139549206,0.006246021580818723,2.3047233072949454e-16,0.0,0.0,0.010526315789473684
SPK.AX,0.016486747072517557,0.011186749072868995,0.013462271285305711,2.3198039361687627e-16,0.07726484365359286,0.0720673997214561,0.010526315789473684
MAQ.AX,0.014913753519227132,0.020474871583004445,0.0031418234696025124,0.042108759820710835,0.013655750205736075,0.015304713003555492,0.010526315789473684
MMS.AX,0.0026522857678247976,0.002671034652989417,0.004038323357722056,3.851321811036431e-16,2.2557119591945018e-17,0.0,0.010526315789473684
CCP.AX,0.003808627066289357,0.004747975861670787,0.0006693914100171855,1.2604007403276684e-15,0.0,9.887110248587218e-17,0.010526315789473684
AFI.AX,0.0009312847086614667,0.0017084892414347586,0.01827250100771725,4.165240637249398e-16,0.19999999999999996,0.1999999999999999,0.010526315789473684
IFT.AX,0.010089575776412646,0.0165185656896694,0.009185494516762604,0.10626949808857486,0.045907996508671424,0.048057321818741415,0.010526315789473684
SMR.AX,0.010014321489686446,0.015200436801758954,0.002428603819319156,0.039831660812389744,0.006927597317746638,0.008057315000713782,0.010526315789473684
WBT.AX,0.0034318120683365584,0.02077261095834032,0.0045888780674588564,0.013328461971873573,4.5589817366436284e-17,0.0,0.010526315789473684
DDR.AX,0.004858607385237671,0.009907366059751873,0.0038445992160794284,6.88586050057935e-16,2.5379876907634336e-18,0.0,0.010526315789473684
ING.AX,0.008283280907337064,0.006689010338511655,0.006799535276980616,1.8470982208076312e-17,0.004933715765936958,0.003827767438119596,0.010526315789473684
IPH.AX,0.022094329530189753,0.005243517267120678,0.017681575937173174,1.567260913696778e-16,0.0,0.0,0.010526315789473684
LLC.AX,0.007203378526195105,0.0020608736630344823,0.012011995189841895,1.5248412433766076e-15,0.0,2.9077941974121424e-17,0.010526315789473684
NEU.AX,0.017590700745674998,0.005857754420398356,0.004937226670872686,0.019234093270749986,9.798039641661637e-18,3.434618290532507e-17,0.010526315789473684
ARB.AX,0.0026301525120044963,0.02192239174978167,0.01805398379255627,7.063961573121543e-16,2.255679456072009e-17,1.029919686896855e-17,0.010526315789473684
NWS.AX,0.011431311081169116,0.005311835543213757,0.01741863684862337,2.5670939874558873e-16,0.0,0.0,0.010526315789473684
TPG.AX,0.018519194555218447,0.00040604384921162043,0.018428849884985075,4.2353601993592547e-16,0.0,8.76478853114773e-18,0.010526315789473684
ALX.AX,0.0069615246545879535,0.005752966610198327,0.009215842633081095,1.39196927153563e-16,7.609955312877089e-18,1.378187747262221e-17,0.010526315789473684
BPT.AX,0.000880582578558582,0.004139635336913555,0.014442896974665623,5.768135701991976e-16,2.923462529584503e-17,4.3949316653086794e-17,0.010526315789473684
ANN.AX,0.015190622342077303,0.008623264818603324,0.016971405493404108,2.567089622546523e-17,1.2012408667759127e-17,0.0,0.010526315789473684
A2M.AX,0.012949139789880177,0.0013682660288322028,0.005195747616712585,1.445048849007796e-16,0.0,0.0,0.010526315789473684
