Strategy,IsBenchmark,CAGR,AnnReturn,Vol,Sharpe,MaxDrawdown
MaxSharpe,False,0.19223718884206753,0.1861708141950362,0.14296839066587333,1.0223995214204176,-0.33934862564631185
EqualWeight,False,0.15810316986949635,0.1565794966104658,0.1391855702736041,0.8375832091020614,-0.35504045145175533
MinVol,False,0.14292774680384746,0.14174141126320114,0.127002784104859,0.8010959128202971,-0.325761356592956
TargetReturn_12.30%,False,0.11815265278005604,0.12077340445837344,0.13417970964150072,0.6019792759589552,-0.35659694993332236
Benchmark,True,0.04705477477441411,0.05808171871793925,0.1549872629831912,0.11666583672685579,-0.3653054101221642
