Strategy,IsBenchmark,CAGR,AnnReturn,Vol,Sharpe,MaxDrawdown
SciPy_MaxSharpe,False,0.3536974213538695,0.31660284812073186,0.16449315959502558,1.6815462041200684,-0.2950773859968697
MaxSharpe,False,0.1922371910020646,0.18617081620396939,0.14296839189941649,1.0223995266506594,-0.33934862383712516
SciPy_TargetReturn_12.30%,False,0.11751641617162001,0.11516628272273503,0.08967253210549726,0.8382308490442087,-0.23668837389309305
EqualWeight,False,0.1581031729254747,0.156579498473548,0.13918556462551857,0.837583256476398,-0.35504045311738375
MinVol,False,0.14292774686719212,0.14174141053208464,0.12700277763471404,0.8010959478753585,-0.3257613746209468
SciPy_MinVol,False,0.11184310279737031,0.1100549497987134,0.08945555951193068,0.7831257238894155,-0.23847997739890892
TargetReturn_12.30%,False,0.11815265339062875,0.12077340433700684,0.1341797046434165,0.6019792974776828,-0.3565969529398276
Benchmark,True,0.04705477477441411,0.05808171871793925,0.1549872629831912,0.11666583672685579,-0.3653054101221642
