PortfolioID,ExpectedReturn,Volatility,Sharpe
0,0.1623892690422559,0.13932830936646629,0.8784235565533439
1,0.17527762898547636,0.1409453706048536,0.9597876709603538
2,0.15775582774450284,0.1440174599269409,0.817649664174327
3,0.16180596454430174,0.14645507110030118,0.8316950968593073
4,0.15891325194917374,0.14702427454464892,0.8088001271726165
5,0.15977227649565928,0.13955862879680034,0.8582219353132917
6,0.1640801706947625,0.14418498348253395,0.8605623671607461
7,0.1548065252859719,0.14011320884090692,0.8193840269287547
8,0.15886173618468571,0.14146890476119928,0.8401969067713172
9,0.15533544416479914,0.13469692498891644,0.8562589247994304
10,0.17343590094838832,0.14089296509421792,0.9470728425592937
11,0.1681773780250452,0.14656449369070987,0.8745459067018893
12,0.16005635097175913,0.14683674495355564,0.8176178994551593
13,0.16201034455353708,0.14764372249864063,0.8263835569078152
14,0.16279727116290427,0.14081838380141495,0.8720258523636768
15,0.1653589306727731,0.1431979856414355,0.8754238414126091
16,0.1549667196355545,0.13900613413772447,0.8270622037560428
17,0.17087428542077152,0.13936359233951753,0.9390851887768192
18,0.17208107238279383,0.14510539577366982,0.9102423219933815
19,0.16387180236107132,0.1379968820646657,0.8976420373253409
20,0.15425210439257403,0.14374742703438867,0.7948114741924495
21,0.16764960204453297,0.14301822734563116,0.8925407929720948
22,0.15542963921675623,0.14291685365542223,0.8076698882208905
23,0.14863108830439328,0.14579403273899735,0.745099687988371
24,0.16436310295300355,0.14371544421347152,0.8653426472959825
25,0.15470635353103993,0.14546549274375684,0.788546832430559
26,0.14023541870305287,0.13995632802603125,0.7161906868863372
27,0.16871530407782617,0.14471799145248979,0.889421576308173
28,0.16186622378813248,0.14308412883139324,0.8517102824991624
29,0.1540249270579794,0.1421595013892693,0.8020914954235088
30,0.1624832718047202,0.13853748682572836,0.8841164554890231
31,0.15192146210881022,0.13920268466488103,0.8040179855600622
32,0.15786191123843793,0.1437656630680947,0.81981961981153
33,0.16137617728976145,0.14219926846845554,0.8535640063203747
34,0.16462228210416954,0.1416892568928228,0.8795464443605407
35,0.1503463225828016,0.1433728098435257,0.769646090519056
36,0.15815831198934166,0.1412857164560977,0.8363075543171237
37,0.17198970016399684,0.14742253728773197,0.8953156185772729
38,0.14641485654411887,0.13675095405295187,0.7781653684325562
39,0.17427228436255157,0.14561973295706435,0.9220747877771582
40,0.1685965353934295,0.14861276193013676,0.8653128689841796
41,0.1553591251866251,0.1410398757813761,0.8179185109709087
42,0.15604152875680635,0.1416170029114774,0.8194039301152426
43,0.14788539685189378,0.14096569878900392,0.7653308413231475
44,0.17505256558972895,0.1503259751175569,0.8983980678263757
45,0.15853083931239176,0.14374809541601274,0.8245732854362957
46,0.16452603096532512,0.14613676289839211,0.8521198122604317
47,0.160029012904182,0.14475662434749265,0.8291780320605483
48,0.1638678669082413,0.13997049092199135,0.884957008383114
49,0.15855527861606894,0.1426728359231625,0.8309590108653743
50,0.15531189092749112,0.14498635836653537,0.7953292449485131
51,0.15873563735629556,0.13975061644856757,0.8496251420829606
52,0.16603707065792636,0.14187601435774772,0.8883606663781614
