Ticker,LatestPrice,ADV_$,ZeroRetFrac,NumObs,FirstDate,LastDate,Keep,Fail_Price,Fail_ADV,Fail_Stale
AFT.AX,0.0010000000474974513,0.0,0.9936117936117936,2035,2018-01-02,2025-12-24,False,True,True,True
XYZ.AX,96.5,17521650.908029046,0.8805896805896806,2035,2018-01-02,2025-12-24,False,False,False,True
NEM.AX,156.24000549316406,64574646.48844617,0.7312039312039312,2035,2018-01-02,2025-12-24,False,False,False,True
RMD.AX,36.220001220703125,48182560.53642426,0.01769041769041769,2035,2018-01-02,2025-12-24,True,False,False,False
TCL.AX,14.460000038146973,65795488.65579382,0.03734643734643735,2035,2018-01-02,2025-12-24,True,False,False,False
WOW.AX,29.299999237060547,80941122.56178516,0.022113022113022112,2035,2018-01-02,2025-12-24,True,False,False,False
TLS.AX,4.849999904632568,99137601.39382538,0.13022113022113022,2035,2018-01-02,2025-12-24,True,False,False,False
WDS.AX,23.15999984741211,103389748.54174598,0.019164619164619166,2035,2018-01-02,2025-12-24,True,False,False,False
GMG.AX,31.649999618530273,103466770.93015,0.023587223587223587,2035,2018-01-02,2025-12-24,True,False,False,False
WES.AX,81.55999755859375,122497866.0657936,0.015724815724815724,2035,2018-01-02,2025-12-24,True,False,False,False
FMG.AX,22.290000915527344,137665942.79819566,0.02506142506142506,2035,2018-01-02,2025-12-24,True,False,False,False
NST.AX,27.010000228881836,151566420.8247798,0.033906633906633905,2035,2018-01-02,2025-12-24,True,False,False,False
MQG.AX,205.02999877929688,155211201.7355868,0.010810810810810811,2035,2018-01-02,2025-12-24,True,False,False,False
RIO.AX,147.5,164013106.2946766,0.011793611793611793,2035,2018-01-02,2025-12-24,True,False,False,False
NAB.AX,42.43000030517578,173334013.30198765,0.022113022113022112,2035,2018-01-02,2025-12-24,True,False,False,False
WBC.AX,39.13999938964844,174277921.6949601,0.02506142506142506,2035,2018-01-02,2025-12-24,True,False,False,False
ANZ.AX,36.29999923706055,183952352.49730986,0.01818181818181818,2035,2018-01-02,2025-12-24,True,False,False,False
CSL.AX,171.47999572753906,205515004.53414232,0.009336609336609337,2035,2018-01-02,2025-12-24,True,False,False,False
CBA.AX,161.38999938964844,318861504.0136241,0.010319410319410319,2035,2018-01-02,2025-12-24,True,False,False,False
BHP.AX,45.619998931884766,341918277.6534021,0.01769041769041769,2035,2018-01-02,2025-12-24,True,False,False,False
