Date,RMD.AX,TCL.AX,WOW.AX,TLS.AX,WDS.AX,GMG.AX,WES.AX,FMG.AX,NST.AX,MQG.AX,RIO.AX,NAB.AX,WBC.AX,ANZ.AX,CSL.AX,CBA.AX,BHP.AX
2018-02-09,1337737.0,4741368.0,2823430.0,23525323.0,4794435.0,3487942.0,3192333.0,13020960.0,4419365.0,1221288.0,3238133.0,6068785.0,5492800.0,6002183.0,827716.0,3621859.0,8913847.0
2018-02-12,1587291.0,4410921.0,2461042.0,33147578.0,1928237.0,3647059.0,1945594.0,18137478.0,3059468.0,784675.0,1872387.0,5265435.0,4453579.0,4668421.0,566136.0,3411170.0,7467092.0
2018-02-13,2631103.0,4968560.0,1800212.0,24376392.0,2356095.0,8218496.0,2355819.0,14672401.0,4942946.0,840090.0,1589477.0,5297578.0,5280651.0,3720368.0,735976.0,3334988.0,6919349.0
2018-02-14,1921190.0,5610583.0,3425372.0,27008375.0,2356095.0,6337319.0,2780413.0,7197198.0,4668967.0,435246.0,1156743.0,4139590.0,3182763.0,4227142.0,1615266.0,4217278.0,5340234.0
2018-02-15,3077070.0,5016315.0,2399409.0,26042808.0,0.0,11207998.0,2041428.0,28134303.0,2935595.0,683843.0,2494411.0,5410136.0,4218357.0,3784891.0,1216028.0,3596362.0,12093322.0
2018-02-16,1985798.0,5353861.0,2116443.0,26312414.0,0.0,3422576.0,1724387.0,12656921.0,2345641.0,440557.0,1616104.0,3369334.0,3391181.0,3693855.0,892911.0,2222914.0,6680249.0
2018-02-19,1274042.0,3035959.0,2822469.0,18418463.0,12921697.0,3411012.0,2523961.0,5861752.0,1706491.0,1600832.0,1026093.0,2908730.0,3384494.0,2838644.0,648448.0,1449284.0,7313920.0
2018-02-20,2448994.0,2388833.0,2158280.0,27378027.0,6522086.0,3795150.0,2484467.0,5247850.0,1916321.0,456695.0,970525.0,2851086.0,3969684.0,3773187.0,485828.0,2238370.0,9635468.0
2018-02-21,1421895.0,3675440.0,5550178.0,20631023.0,5711317.0,3140868.0,8041035.0,25724100.0,1745989.0,621992.0,1575809.0,2984821.0,3467774.0,3655027.0,703226.0,2210925.0,14619629.0
2018-02-22,1864979.0,7688933.0,4550371.0,24766541.0,6705040.0,4968995.0,4678773.0,11977244.0,2681094.0,507719.0,2417110.0,4436953.0,5184906.0,4219656.0,883587.0,2473068.0,12913272.0
2018-02-23,1230789.0,16567709.0,10877345.0,18432868.0,5787158.0,2697601.0,4018228.0,17020322.0,3156522.0,1919108.0,3449253.0,5057932.0,4956530.0,5822791.0,2259729.0,4526316.0,14773461.0
2018-02-26,1572135.0,6287110.0,9482901.0,27297721.0,4334464.0,4015935.0,6641640.0,8898706.0,3530956.0,498771.0,2016505.0,6715629.0,7682025.0,5006071.0,977121.0,3450024.0,7433373.0
2018-02-27,1759034.0,10621004.0,4710553.0,31670307.0,6153953.0,4483695.0,4833860.0,15210981.0,2713673.0,654081.0,1766721.0,8382091.0,5523839.0,6040233.0,980395.0,2736893.0,7933181.0
2018-02-28,1563399.0,9416315.0,8848809.0,60830808.0,5283964.0,7224058.0,3952214.0,19788706.0,3896596.0,696390.0,2609196.0,4813542.0,5964295.0,7725781.0,952958.0,3744085.0,10663474.0
2018-03-01,1556927.0,4452763.0,4188750.0,35195793.0,3330249.0,4591531.0,3099699.0,14708102.0,3030331.0,819706.0,4540420.0,2931841.0,3066448.0,4027690.0,681451.0,1695236.0,6729122.0
2018-03-02,909229.0,8113988.0,1928782.0,37008956.0,3253272.0,3416778.0,2156659.0,11688373.0,2709402.0,990525.0,2450387.0,4150574.0,4959369.0,6258932.0,889233.0,2447987.0,11192402.0
2018-03-05,1925076.0,2556742.0,1580728.0,20875513.0,1758627.0,4456645.0,1455916.0,13904573.0,2269577.0,363899.0,1138462.0,3191424.0,4547189.0,4598720.0,676194.0,1541207.0,8628278.0
2018-03-06,1838849.0,3370311.0,2484853.0,27830482.0,2881041.0,4129789.0,2727923.0,18787292.0,2365348.0,670878.0,1509757.0,4850014.0,5804279.0,3765397.0,794056.0,2280493.0,8215230.0
2018-03-07,959826.0,3735396.0,2561429.0,29088050.0,2850640.0,3601587.0,3251203.0,17161293.0,2363034.0,663525.0,1587976.0,6888087.0,6867299.0,5498532.0,604288.0,2458242.0,7526991.0
2018-03-08,1336091.0,4758764.0,2329463.0,20867228.0,2857338.0,2940680.0,2632605.0,12391973.0,3109263.0,1323258.0,1618274.0,6648449.0,7101285.0,5477416.0,774096.0,3278343.0,8565541.0
2018-03-09,1235884.0,3510036.0,2236349.0,27945892.0,3127165.0,2970173.0,2127141.0,21303697.0,3384542.0,777785.0,2248945.0,5488127.0,7093559.0,6261571.0,715528.0,2944053.0,9259286.0
2018-03-12,1166779.0,2228573.0,2950503.0,24805121.0,3245253.0,2286570.0,2259199.0,13249224.0,1672681.0,751920.0,1704888.0,3684461.0,6980800.0,5188751.0,510562.0,2828994.0,7169339.0
2018-03-13,1421843.0,3268617.0,2435856.0,23960304.0,2420660.0,3656508.0,1985448.0,15864460.0,2957407.0,863535.0,3069711.0,3956029.0,6646441.0,4035702.0,678344.0,2990565.0,8449671.0
2018-03-14,1849931.0,2271413.0,1963572.0,28721170.0,2477130.0,3236163.0,1957454.0,14012693.0,2054819.0,476609.0,1650654.0,6294624.0,4816063.0,4883446.0,1422135.0,3068664.0,5238734.0
2018-03-15,1628360.0,5753784.0,3769711.0,41544840.0,3287002.0,5808958.0,4975545.0,16845086.0,2806458.0,969403.0,2301346.0,7812240.0,8585502.0,10699332.0,1173416.0,4006228.0,9850441.0
2018-03-16,5581546.0,5558313.0,6958152.0,39005575.0,4625680.0,5673459.0,14513557.0,42963956.0,5386158.0,923627.0,2605388.0,7212971.0,9322568.0,9312412.0,972432.0,3791783.0,10726717.0
2018-03-19,1367056.0,3037859.0,1722483.0,16216690.0,3146870.0,2141038.0,3509550.0,13687551.0,2192283.0,487472.0,1270883.0,4382640.0,4835571.0,5986686.0,752418.0,2364077.0,5985028.0
2018-03-20,1327544.0,6376443.0,4229756.0,20109486.0,2342458.0,1915735.0,2708195.0,23788052.0,2769163.0,422333.0,1188937.0,3469584.0,7776670.0,4191051.0,596507.0,2354537.0,5820147.0
2018-03-21,908816.0,5832086.0,2452939.0,25263907.0,2480287.0,3990341.0,3058129.0,12108552.0,1341470.0,479023.0,1669907.0,3906203.0,5667063.0,2870737.0,375893.0,1926293.0,7686119.0
2018-03-22,1436729.0,6868717.0,2846345.0,38274466.0,4715735.0,4956901.0,4036517.0,10457982.0,2090857.0,864431.0,1763828.0,3950164.0,5358810.0,4667655.0,556085.0,2530879.0,12291755.0
